Time,CPU,Memory,TCP Connections,Thread Count
May 03 15:21:46,0.0,7.5,24,70
May 03 15:21:52,0.0,7.4,24,70
May 03 15:21:58,0.0,7.4,24,70
May 03 15:22:03,0.0,7.4,24,70
May 03 15:22:09,0.0,7.4,22,70
May 03 15:22:14,0.0,7.4,22,70
May 03 15:22:20,0.0,7.4,22,68
May 03 15:22:26,0.0,7.4,22,68
May 03 15:22:31,0.0,7.4,22,68
May 03 15:22:37,0.0,7.4,22,68
May 03 15:22:43,0.0,7.4,21,68
May 03 15:22:48,73.3,7.4,20,68
May 03 15:22:54,0.0,7.3,19,68
May 03 15:22:59,0.0,7.3,19,68
May 03 15:23:05,0.0,7.4,19,68
May 03 15:23:11,76.5,7.6,30,70
May 03 15:23:16,0.0,7.7,31,71
May 03 15:23:22,0.0,7.5,31,71
May 03 15:23:27,0.0,7.5,31,71
May 03 15:23:33,0.0,7.5,31,71
May 03 15:23:39,5.9,7.5,31,71
May 03 15:23:45,0.0,7.5,31,70
May 03 15:23:50,0.0,7.7,31,70
May 03 15:23:56,0.0,7.7,31,70
May 03 15:24:01,0.0,7.7,31,69
May 03 15:24:07,0.0,7.7,31,69
May 03 15:24:13,0.0,7.7,29,71
May 03 15:24:18,0.0,7.6,28,71
May 03 15:24:24,18.8,7.9,28,71
May 03 15:24:30,93.8,7.9,28,71
May 03 15:24:35,0.0,7.9,28,71
May 03 15:24:41,0.0,7.9,28,70
May 03 15:24:46,31.2,7.9,28,70
May 03 15:24:52,0.0,7.9,29,70
May 03 15:24:57,11.8,8.0,29,70
May 03 15:25:03,43.8,8.3,41,70
May 03 15:25:09,6.7,8.7,53,74
May 03 15:25:16,76.5,8.7,55,74
May 03 15:25:23,0.0,7.5,53,74
May 03 15:25:30,0.0,7.6,53,74
May 03 15:25:36,0.0,7.5,53,72
May 03 15:25:48,118.8,8.1,54,72
May 03 15:25:55,68.8,7.8,55,72
May 03 15:26:02,93.8,7.4,55,73
May 03 15:26:08,0.0,7.4,53,73
May 03 15:26:15,0.0,7.7,53,73
May 03 15:26:22,6.2,7.7,53,73
May 03 15:26:28,23.5,7.8,53,73
May 03 15:26:35,52.6,7.7,52,73
May 03 15:26:41,25.0,7.7,52,73
May 03 15:26:48,29.4,8.0,51,72
May 03 15:26:55,43.8,8.2,51,72
May 03 15:27:02,18.8,8.5,45,72
May 03 15:27:08,94.1,8.7,46,73
May 03 15:27:15,0.0,8.9,45,73
May 03 15:27:23,27.8,8.9,45,73
